difficulty,question,answer
expert,What is the only country that is also a continent?,Australia
expert,Who developed the theory of general relativity?,Einstein
expert,What is the longest river in the world?,Nile
expert,In which year did World War II end?,1945
expert,What is the capital of Iceland?,Reykjavik
expert,Who discovered penicillin?,Fleming
expert,What is the most spoken language in the world?,Mandarin
expert,What is the name of the largest ocean on Earth?,Pacific
expert,Who was the first female Prime Minister of the United Kingdom?,Thatcher
expert,What is the primary ingredient in traditional Japanese miso soup?,Miso
expert,What is the capital of France?,Paris
expert,What is the chemical symbol for gold?,Au
expert,What is the largest planet in our solar system?,Jupiter
expert,What is the currency of Japan?,Yen
expert,What is the main ingredient in guacamole?,Avocado
expert,What is the smallest prime number?,Two
expert,What is the hardest natural substance on Earth?,Diamond
expert,What is the capital of Italy?,Rome
expert,What is the name of the longest bone in the human body?,Femur
expert,What is the primary gas found in the Earth's atmosphere?,Nitrogen
expert,What is the name of the first manned mission to land on the Moon?,Apollo
expert,What is the largest mammal in the world?,Blue
expert,What is the main ingredient in bread?,Flour
expert,What is the capital of Canada?,Ottawa
expert,What is the most widely consumed fruit in the world?,Banana
expert,What is the name of the famous clock tower in London?,Big
expert,What is the primary ingredient in hummus?,Chickpeas
expert,What is the capital of Egypt?,Cairo
expert,What is the name of the largest desert in the world?,Sahara
expert,What is the term for a baby kangaroo?,Joey
