difficulty,question,answer
expert,What is the term for a word that imitates the sound it represents?,Onomatopoeia
expert,What is the term for a figure of speech that makes a comparison between two unlike things?,Metaphor
expert,What is the term for a phrase or expression that has a figurative meaning?,Idiom
expert,What is the term for a comparison using "like" or "as"?,Simile
expert,What is the term for a figure of speech that gives human traits to non-human things?,Personification
expert,What is the term for a statement that contradicts itself?,Oxymoron
expert,What is the term for a word that has the opposite meaning?,Antonym
expert,What is the term for a word that has a similar meaning?,Synonym
expert,What is the term for an exaggerated statement not meant to be taken literally?,Hyperbole
expert,What is the term for a figure of speech that involves a part representing the whole?,Synecdoche
expert,What is the term for a figure of speech that replaces a word with a related concept?,Metonymy
expert,What is the term for a rhetorical question that does not require an answer?,Hypophora
expert,What is the term for a direct address to an absent or imaginary person or object?,Apostrophe
expert,What is the term for a figure of speech that uses a phrase to convey a meaning different from the literal interpretation?,Irony
expert,What is the term for a figure of speech that involves a deliberate understatement?,Litotes
expert,What is the term for a phrase that combines contradictory terms?,Paradox
expert,What is the term for a figure of speech that attributes human qualities to animals or inanimate objects?,Anthropomorphism
expert,What is the term for a figure of speech that uses a question to make a point?,Rhetorical
expert,What is the term for a figure of speech that involves a play on words?,Pun
expert,What is the term for a figure of speech that uses repetition of initial consonant sounds?,Alliteration
expert,What is the term for a figure of speech that uses the same word or phrase at the beginning of successive clauses?,Anaphora
expert,What is the term for a figure of speech that involves a sudden shift in tone or idea?,Volta
expert,What is the term for a figure of speech that uses a word in a way that is not its literal meaning?,Figurative
expert,What is the term for a figure of speech that involves a comparison between two different things?,Analogy
expert,What is the term for a figure of speech that involves a direct comparison without using "like" or "as"?,Metaphor
expert,What is the term for a figure of speech that involves a humorous or sarcastic remark?,Wit
expert,What is the term for a figure of speech that involves a statement that is true in a specific context but not universally?,Contextual
expert,What is the term for a figure of speech that involves a shift in the meaning of a word?,Semantic
expert,What is the term for a figure of speech that involves a deliberate exaggeration?,Hyperbole
expert,What is the term for a figure of speech that involves a comparison of two unlike things using "like" or "as"?,Simile
